Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T19:00:00.0000000+00:00,9/1/2023 7:00:00 PM,150.407377312778,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T19:00:00.0000000+00:00,9/1/2023 7:00:00 PM,59.6970514132333,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T19:00:00.0000000+00:00,9/1/2023 7:00:00 PM,59.5329992570583,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T20:00:00.0000000+00:00,9/1/2023 8:00:00 PM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T20:00:00.0000000+00:00,9/1/2023 8:00:00 PM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T20:00:00.0000000+00:00,9/1/2023 8:00:00 PM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T20:00:00.0000000+00:00,9/1/2023 8:00:00 PM,23861.4056353175,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T20:00:00.0000000+00:00,9/1/2023 8:00:00 PM,150.406697941389,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T20:00:00.0000000+00:00,9/1/2023 8:00:00 PM,59.6074222110389,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T20:00:00.0000000+00:00,9/1/2023 8:00:00 PM,59.4534156710667,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T21:00:00.0000000+00:00,9/1/2023 9:00:00 PM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T21:00:00.0000000+00:00,9/1/2023 9:00:00 PM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T21:00:00.0000000+00:00,9/1/2023 9:00:00 PM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T21:00:00.0000000+00:00,9/1/2023 9:00:00 PM,23861.5511266797,m3,15456,Billing heatmeter MC602
